tv,lb,label,CAGR,Sharpe,Sortino,MaxDD,DayWin%,Turnover/yr,AvgExposure,End$per1k,NeighSharpe
0.1,20,IS E2 vt0.1/lb20,6.22,0.691,0.783,-17.85,55.4,4.18,0.726,1826.25,0.7225
0.1,40,IS E2 vt0.1/lb40,6.53,0.716,0.805,-17.32,55.4,2.83,0.719,1881.03,0.7298333333333334
0.1,60,IS E2 vt0.1/lb60,6.63,0.732,0.822,-17.54,55.5,2.28,0.706,1898.82,0.7385
0.12,20,IS E2 vt0.12/lb20,7.18,0.734,0.838,-18.97,55.4,3.05,0.778,1998.22,0.7413333333333334
0.12,40,IS E2 vt0.12/lb40,7.55,0.749,0.851,-19.16,55.4,2.16,0.785,2069.42,0.7455555555555555
0.12,60,IS E2 vt0.12/lb60,7.68,0.757,0.857,-19.33,55.5,1.89,0.781,2093.76,0.7525
0.15,20,IS E2 vt0.15/lb20,8.12,0.77,0.882,-19.82,55.4,2.06,0.821,2181.61,0.7683333333333334
0.15,40,IS E2 vt0.15/lb40,8.52,0.788,0.899,-20.26,55.5,1.45,0.829,2263.13,0.7675555555555555
0.15,60,IS E2 vt0.15/lb60,8.42,0.773,0.878,-20.56,55.5,1.34,0.829,2242.73,0.7706666666666667
0.18,20,IS E2 vt0.18/lb20,8.51,0.78,0.891,-20.38,55.5,1.42,0.836,2260.83,0.7817500000000001
0.18,40,IS E2 vt0.18/lb40,8.73,0.789,0.902,-20.45,55.5,1.18,0.841,2307.13,0.778
0.18,60,IS E2 vt0.18/lb60,8.53,0.768,0.873,-20.32,55.5,1.15,0.841,2265.93,0.7795000000000001
